X Points,Y Points,Heading,Arc Length,Delta Heading,Delta Arc Length,Curvature,Left Power,Right Power,Left Adjusted Power,Right Adjusted Power
-9669.003678,-4928.4905340000005,-179.99834343250436,1798.9686723796362,0.0014246070413435064,890.4781383721906,1.599822589570665E-6,0.7000712303520643,0.6999287696479356,0.7997927847278222,0.7999352454319509
-9669.029424,-5818.968672,-179.99541255933386,2671.774221177221,0.0029308731704986712,872.8055487975848,3.3579909918822038E-6,0.7001465436585264,0.6998534563414736,0.7995680271071637,0.7998611144242165
-9669.099306,-6691.7742180000005,-179.9908855620332,3527.246990001294,0.004526997300644098,855.4727688240728,5.291807601187938E-6,0.7002263498650336,0.6997736501349663,0.7993238464888655,0.7997765462189328
-9669.235392,-7547.246976,-179.98466896090784,4365.726794017826,0.0062166011253737,838.4798040165324,7.414133406188906E-6,0.7003108300562686,0.6996891699437313,0.7990589686042053,0.7996806287167426
-9669.45975,-8385.72675,-179.97666565928716,5187.553456172561,0.00800330162067553,821.8266621547345,9.73843024228902E-6,0.7004001650810323,0.6995998349189676,0.7987720683483731,0.7995723985104378
-9669.794448,-9207.553344,-179.96677497179772,5993.066809606711,0.009890687489445327,805.5133534341503,1.2278738083333187E-5,0.7004945343744722,0.6995054656255277,0.7984617728884446,0.799450841637389
-9670.261554,-10013.066562,-179.95489267949506,6782.606700283547,0.01188229230265847,789.539890676836,1.5049641497459881E-5,0.7005941146151314,0.6994058853848685,0.7981266658575845,0.7993148950878475
-9670.883136,-10802.606208000001,-179.94091111541147,7556.512989835493,0.013981564083593412,773.9062895519455,1.8066223614344915E-5,0.7006990782041796,0.6993009217958203,0.7977652927886011,0.7991634491969605
-9671.681262,-11576.512085999999,-179.92471928430922,8315.125558640797,0.016191831102247534,758.6125688053044,2.1344005844479412E-5,0.7008095915551138,0.6991904084448861,0.7973761679481055,0.7989953510583332
-9672.678,-12335.123999999998,-179.90620302065597,9058.7843091379,0.018516263653253873,743.658750497103,2.4898871479604607E-5,0.7009258131826654,0.6990741868173345,0.7969577827415681,0.7988094091068991
-9673.895418,-13078.781754,-179.88524518903606,9787.8291693846,0.02095783161990994,729.0448602467004,2.874697122594962E-5,0.7010478915809969,0.698952108419003,0.7965086158647974,0.7986043990267913
-9675.355584,-13807.825151999998,-179.86172593137994,10502.600096867716,0.023519257656118953,714.7709274831159,3.290460866799328E-5,0.7011759628828045,0.6988240371171954,0.7960271453804161,0.7983790711460251
-9677.080566,-14522.593997999998,-179.83552296551403,11203.437082567156,0.02620296586590598,700.8369856994395,3.738810365406684E-5,0.7013101482932966,0.6986898517067033,0.7955118628961076,0.798132159482701
-9679.092432,-15223.428096,-179.8065119396038,11890.680155276386,0.029011025910222088,687.2430727092305,4.221363162788791E-5,0.7014505512955083,0.6985494487044916,0.7949612900161213,0.7978623926071379
-9681.41325,-15910.66725,-179.77456684705467,12564.669386178728,0.03194509254913669,673.9892309023417,4.7397037051039415E-5,0.7015972546274539,0.698402745372546,0.7943739972232077,0.7975685064781156
-9684.065088,-16584.651264,-179.73956050634567,13225.74489367612,0.035006340709003325,661.0755074973913,5.2953619234052536E-5,0.7017503170354487,0.6982496829645513,0.7937486253296568,0.7972492594005542
-9687.070014,-17245.719942,-179.70136511008238,13874.246848463697,0.038195396263290604,648.5019547875781,5.88978891757238E-5,0.7019097698131659,0.698090230186834,0.7930839096068976,0.7969034492332294
-9690.450096,-17894.213088000004,-179.65985284723382,14510.515478839772,0.04151226284855625,636.2686303760747,6.524329641090165E-5,0.7020756131424292,0.6979243868575707,0.7923787066626442,0.7965299329475026
-9694.227402,-18530.470506000005,-179.61489660207687,15134.891076236629,0.0449562451569534,624.3755973968564,7.200192535461283E-5,0.7022478122578505,0.6977521877421494,0.7916320240870074,0.7961276486027085
-9698.424,-19154.832000000002,-179.56637073275033,15747.714000952808,0.04852586932653935,612.8229247161798,7.918416131224502E-5,0.7024262934663283,0.6975737065336716,0.7908430528221309,0.7956956397547876
-9703.061958,-19767.637374000005,-179.51415193154196,16349.324688062376,0.05221880120836886,601.6106871095672,8.679832710295356E-5,0.7026109400604184,0.6973890599395816,0.7900112021358306,0.7952330822566674
-9708.163344,-20369.226432000003,-179.45812016805334,16940.0636534712,0.056031763488618935,590.7389654088238,9.485029220959189E-5,0.702801588174431,0.697198411825569,0.7891361369877538,0.7947393133366157
-9713.750226,-20959.938978000006,-179.39815971519505,17520.271500083985,0.059960452858291546,580.2078466127859,1.0334305750665908E-4,0.702998022642916,0.6970019773570839,0.788217817469018,0.7942138627548501
-9719.844672,-21540.114816000005,-179.3341602565687,18090.28892403971,0.06399945862634127,570.0174239557236,1.1227631987503823E-4,0.7031999729313199,0.69680002706868,0.7872565398793019,0.7936564857419417
-9726.46875,-22110.09375,-179.26601807215724,18650.456720966158,0.06814218441147091,560.1677969264492,1.216460224692096E-4,0.703407109220572,0.6965928907794279,0.7862529788695451,0.7930671973106893
-9733.644528,-22670.215584,-179.19363729739186,19201.115792197535,0.07238077476537796,550.6590712313773,1.3144389795228067E-4,0.7036190387382717,0.6963809612617282,0.7852082299357844,0.7924463074123279
-9741.394074,-23220.820122000005,-179.1169312485971,19742.60715089222,0.07670604879476173,541.4913586946859,1.416570136589013E-4,0.7038353024397395,0.6961646975602604,0.7841238513992539,0.7917944562787329
-9749.739456,-23762.24716800001,-179.03582380554374,20275.271927980746,0.08110744305335515,532.6647770885247,1.5226732936365293E-4,0.7040553721526677,0.6959446278473322,0.7830019048514218,0.7911126491567573
-9758.702742,-24294.836526000006,-178.95025083939674,20799.451377867623,0.08557296614699794,524.1794498868767,1.632512800061831E-4,0.7042786483073484,0.6957213516926515,0.7818449928921261,0.790402289506823
-9768.306,-24818.928000000007,-178.86016167178016,21315.486883804362,0.0900891676165827,516.0355059367394,1.7457939730919738E-4,0.7045044583808291,0.6954955416191708,0.7806562928478892,0.7896652096095474
-9778.571298,-25334.861394000007,-178.76552054803227,21823.719962845767,0.09464112374789124,508.2330790414053,1.862159856386532E-4,0.7047320561873931,0.6952679438126068,0.7794395850333213,0.7889036974081076
-9789.520704,-25842.97651200001,-178.66630810507482,22324.492270296854,0.09921244295745169,500.7723074510868,1.9811886855824023E-4,0.7049606221478754,0.6950393778521246,0.7781992740246743,0.7881205183204251
-9801.176286,-26343.613158000007,-178.56252281174102,22818.145603554603,0.10378529333380015,493.6533332577492,2.1023922323964688E-4,0.7051892646666885,0.6948107353333114,0.7769404013579415,0.7873189306913186
-9813.560112000001,-26837.111136000007,-178.45418235700632,23305.02190524672,0.10834045473470155,486.8763016921148,2.2252152006201493E-4,0.705417022736735,0.6945829772632649,0.7756686480579937,0.7865026935314638
-9826.69425,-27323.81025000001,-178.34132495943382,23785.4632655695,0.11285739757249758,480.4413603227804,2.34903584272276E-4,0.7056428698786235,0.6943571301213765,0.774390325458233,0.7856760652154801
-9840.600768,-27804.050304000008,-178.22401056942735,24259.811923728757,0.11731439000647015,474.3486581592588,2.473167953329687E-4,0.7058657195003221,0.6941342804996778,0.7731123528963756,0.7848437918970198
-9855.301734,-28278.171102000008,-178.1023219346557,24728.410268391555,0.12168863477165814,468.5983446627979,2.5968643755934175E-4,0.7060844317385843,0.6939155682614156,0.7718422210688717,0.7840110845460403
-9870.819216,-28746.51244800001,-177.97636549844353,25191.60083706311,0.12595643621216368,463.1905686715545,2.7193221263861056E-4,0.7062978218106095,0.6937021781893904,0.7705879401151086,0.7831835837363277
