X Points,Y Points
65.31,118.5
62.59097125,117.03107518518519
59.96307,115.73960148148149
57.42357375,114.61852999999999
54.96976,113.66081185185185
52.59890625,112.85939814814814
50.30829,112.20724
48.095188750000005,111.69728851851852
45.95688,111.32249481481482
43.89064125,111.07581
41.89375,110.95018518518519
39.96348375,110.93857148148149
38.097120000000004,111.03392
36.291936250000006,111.22918185185185
34.545210000000004,111.51730814814815
32.85421875000001,111.89125
31.21624,112.34395851851852
29.62855125,112.86838481481482
28.088430000000002,113.45748
26.59315375,114.10419518518519
25.14,114.80148148148149
23.726246250000003,115.54229000000001
22.34917,116.31957185185186
21.006048750000005,117.12627814814815
19.694159999999997,117.95536
18.41078125,118.79976851851852
17.15319000000001,119.65245481481482
15.918663750000007,120.50637
14.704480000000004,121.35446518518518
13.507916249999994,122.18969148148147
12.326250000000009,123.00500000000001
11.156758750000009,123.79334185185185
9.996719999999996,124.54766814814816
8.843411249999996,125.26093
7.694109999999995,125.92607851851852
6.546093749999983,126.53606481481484
5.396639999999991,127.08384000000001
4.243026249999971,127.56235518518521
3.082529999999977,127.96456148148147
1.9124287499999753,128.28341000000003
0.7299999999999613,128.51185185185187
-0.4674787500000406,128.64283814814814
-1.6827300000000491,128.66932
-2.9184762500000403,128.5842485185185
-4.177440000000047,128.38057481481482
-5.462343750000059,128.05124999999998
-6.775910000000067,127.58922518518514
-8.120861250000075,126.98745148148146
-9.49992000000006,126.23887999999997
-10.915808750000082,125.3364618518518
-12.37125000000006,124.27314814814808
-13.868966250000085,123.04188999999992
-15.411680000000118,121.6356385185184
-17.002113750000106,120.04734481481474
-18.64299000000011,118.2699599999999
-20.33703125000011,116.296435185185
-22.086960000000133,114.11972148148132
-23.895498750000158,111.73276999999982
-25.76537000000016,109.12853185185168
-27.69929625000016,106.29995814814788
