Heading,Arc Length
0.009806667020057011,2028.657437122447
0.06682574057433367,4112.594039721748
0.1769494077440608,6248.761634402134
0.33683019405612924,8434.123471683673
0.5438293729176968,10665.659176443085
0.7959016926007125,12940.36938087958
1.0915053680930684,15255.28016835765
1.4295314260867653,17607.44743233511
1.80924801359771,19993.961237502375
2.2302563723289732,22411.95025827969
2.692455970198791,24858.586361582842
3.1960168556351127,27331.089395316438
3.7413577191139944,29826.732240696838
4.329128451380035,32342.846184737104
4.960196207651865,34876.8266686539
5.635634142020746,37426.13946826847
6.356712080278266,39988.32736339822
7.124888462388765,42561.017354516865
7.941802914603859,45141.92848633454
8.809268810595292,47728.880339124444
9.729265154448203,50319.802249258835
10.703927068711186,52912.743320105525
11.735534100676752,55505.883282680814
12.826495472987569,58097.54426164937
13.979331305175023,60686.2034956754
15.196648727693258,63270.50705089197
16.481111709500208,65849.2845513529
17.835403338715903,68421.56492961933
19.262179253383948,70986.593172866
20.764010942490668,73543.84800380099
22.3433177599621,76093.06039008859
24.002286756932076,78634.23271992957
25.742779885496184,81167.65841457283
27.566228806024192,83693.94167123098
29.473518477792954,86214.01694379604
31.464861947731748,88729.16767719125
33.53967025771808,91241.04371947954
35.696423097231026,93751.67675160241
37.93254759540571,96263.49300774052
40.24431425485279,98779.32252149019
42.626760184840656,101302.40413684219
45.0736501530457,103836.38557994361
47.57748521275545,106385.31800630716
50.12956653733796,108953.64462136533
52.72011855116745,111546.18321506969
55.33847069233275,114168.10273949499
57.97329167386092,116824.89436919671
60.61286466804432,119522.33778791607
63.245387280974946,122266.46371021614
65.85927730084043,125063.5138436314
68.44346452147641,127919.8996046972
70.98765058952377,130842.16091125368
73.48252249336451,133836.9262872342
75.91991034590252,136910.87535013814
78.29288566864858,140070.7045293244
80.59580163219556,143323.096612646
82.82428099837975,146674.69446637464
84.97516046688402,150132.07904086992
87.04640166390558,153701.75157743163
