X Points,Y Points,Heading,Arc Length,Delta Heading,Delta Arc Length,Curvature,Left Power,Right Power,Left Adjusted Power,Right Adjusted Power
-10860.665678,17595.693314699998,178.11208961849147,610.0403656620495,-1.269886967820753,300.9156972831677,0.004220075520439746,-0.5634943483910376,-0.4365056516089624,-0.37779923237158397,-0.5047879291536592
-10850.752224,17294.9409576,176.79954730364864,903.0458402314968,-1.3125423148428297,293.0054745694473,0.004479582904625091,-0.5656271157421429,-0.4343728842578571,-0.35360833736472436,-0.4848625688490102
-10834.393906,17002.3924769,175.4442276276604,1188.4426107235292,-1.355319675988227,285.3967704920325,0.004748896330016584,-0.5677659837994099,-0.4322340162005901,-0.32857782814918046,-0.46410979574800026
-10811.724992,16717.8974208,174.0462583703287,1466.5347331043577,-1.3979692573317095,278.0921223808284,0.005027000568600477,-0.5698984628665869,-0.4301015371334131,-0.3028064888023726,-0.4426034145355464
-10782.87975,16441.305337499998,172.60604895082452,1737.6285067298222,-1.4402094195041855,271.09377362546456,0.00531258759743386,-0.5720104709752093,-0.4279895290247907,-0.27641958324291266,-0.42044052519333125
-10747.992448,16172.465775199998,171.12432174489157,2002.0321139208763,-1.4817272059329412,264.4036071910541,0.005604035518555793,-0.5740863602966471,-0.42591363970335294,-0.24957062062611057,-0.3977433412194047
-10707.197354,15911.228282099999,169.6021417951808,2260.055188251924,-1.522179949710761,258.0230743310476,0.005899394671027789,-0.5761089974855395,-0.42389100251446055,-0.22244245547709848,-0.3746604504481774
-10660.628736,15657.4424064,168.04094366892895,2512.0083077418017,-1.5611981262518668,251.95311948987774,0.006196383396295119,-0.578059906312592,-0.4219400936874081,-0.19524750500232307,-0.3513673176275069
-10608.420862,15410.9576963,166.4425540846958,2758.2024104842503,-1.5983895842331606,246.19410274244865,0.0064923959039963584,-0.5799194792116567,-0.4200805207883434,-0.1700805207883434,-0.3299194792116566
-10550.708,15171.6237,164.80920885234966,2998.948131965929,-1.6333452323461302,240.74572148167863,0.0067845244446864735,-0.5816672616173065,-0.41833273838269347,-0.16833273838269347,-0.33166726161730653
-10487.624418,14939.2899657,163.1435626689651,3234.5550653810897,-1.6656461833845526,235.6069334151607,0.0070695974827256255,-0.5832823091692262,-0.4167176908307738,-0.16671769083077378,-0.3332823091692262
-10419.304384000001,14713.806041599999,161.4486904066654,3465.330948619736,-1.6948722622996968,230.7758832386462,0.007344234755011184,-0.5847436131149835,-0.4152563868850166,-0.1652563868850166,-0.3347436131149834
-10345.882166,14495.0214759,159.72807873073032,3691.580784204535,-1.7206116759350891,226.24983558479926,0.00760491901126783,-0.586030583796753,-0.41396941620324695,-0.16396941620324695,-0.33603058379675305
-10267.492032,14282.7858168,157.985607203024,3913.605901172017,-1.7424715277063285,222.02511696748206,0.00784808291740056,-0.5871235763853179,-0.41287642361468213,-0.16287642361468213,-0.33712357638531787
-10184.268250000001,14076.948612499998,156.2255184515364,4131.702970596734,-1.7600887514875865,218.09706942471712,0.008070208169831294,-0.5880044375743807,-0.41199556242561924,-0.16199556242561924,-0.33800443757438076
-10096.345088,13877.3594112,154.4523775025919,4346.16298898226,-1.7731409489445014,214.46001838552547,0.008267932467286293,-0.588657047447225,-0.4113429525527749,-0.16134295255277492,-0.3386570474472251
-10003.856814,13683.867761099998,152.67102094602726,4557.270245918547,-1.7813565565646456,211.10725693628683,0.008438158793860392,-0.5890678278282337,-0.4109321721717663,-0.1609321721717663,-0.3390678278282337
-9906.937695999999,13496.323210399998,150.88649719164292,4765.301294065569,-1.7845237543843382,208.03104814702237,0.008578160665340477,-0.5892261877192169,-0.4107738122807831,-0.16077381228078308,-0.3392261877192169
-9805.722001999999,13314.575307299998,149.10399962628907,4970.523940524206,-1.7824975653538502,205.22264645863743,0.008685676732626779,-0.5891248782676939,-0.41087512173230606,-0.16087512173230606,-0.33912487826769394
-9700.344,13138.473599999998,147.32879494281713,5173.196278892388,-1.7752046834719408,202.67233836818195,0.00875898851202397,-0.588760234173597,-0.411239765826403,-0.16123976582640295,-0.338760234173597
-9590.937957999999,12967.867636699997,145.56614923778778,5373.565780725518,-1.7626457050293425,200.36950183313002,0.008796976031298883,-0.5881322852514671,-0.4118677147485329,-0.16186771474853287,-0.3381322852514671
-9477.638143999999,12802.606965599998,143.82125463002572,5571.868463733857,-1.7448946077620633,198.30268300833905,0.008799147753783333,-0.5872447303881018,-0.41275526961189823,-0.16275526961189823,-0.33724473038810177
-9360.578825999999,12642.541134899999,142.09915912003484,5768.32815192699,-1.7220955099908792,196.45968819313293,0.008765643098740668,-0.586104775499544,-0.413895224500456,-0.16389522450045602,-0.336104775499544
